stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
23243,198063,Grizzly Way @ Claudia Hill Ln,7093 Grizzly Way & Claudia Hill Ln,40.62238,-112.012761,,,,,,1
23244,198064,Grizzly Way @ 7366 S,7366 S Grizzly Way & W Thrush Hill Dr,40.617115,-112.013113,,,,,,0
23245,198065,Grizzly Way @ 7381 S,7381 S Grizzly Way,40.616746,-112.012692,,,,,,0
23246,198066,Grizzly Way @ 7826 S,7826 S Grizzly Way & Redwood Rd,40.608913,-112.012746,,,,,,0
23247,198067,Grizzly Way @ 7761 S,7761 S Grizzly Way & Redwood Rd,40.61035,-112.012559,,,,,,0
23248,198068,Grizzly Way @ 7981 S,7981 S Grizzly Way & W Hayden Peak Dr,40.606621,-112.013517,,,,,,0
23249,198069,Grizzly Way @ 7980 S,7980 S Grizzly Way & Swiftwater Way,40.606093,-112.01446,,,,,,0
23250,198070,Grizzly Way @ 8271 S,8271 S Grizzly Way & W 8320 S,40.60083,-112.019933,,,,,,1
23251,198071,Grizzly Way @ 8292 S,8292 S Grizzly Way & W Wild Oak Dr,40.59998,-112.020042,,,,,,1
23252,198072,Grizzly Way @ 8740 S,8740 S Grizzly Way & Old Creek Rd,40.592344,-112.014809,,,,,,1
23253,198073,Grizzly Way @ 8731 S,8731 S Grizzly Way & Old Creek Rd,40.592874,-112.014617,,,,,,1
23254,198074,9000 S @ 5167 W,5167 W 9000 S,40.587824,-112.014043,,,,,,0
23255,198075,9000 S @ 5156 W,5156 W 9000 S,40.588043,-112.013903,,,,,,1
23256,198076,9000 S @ 4841 W,4841 W 9000 S & 4800 W,40.587811,-112.00618,,,,,,0
23257,198077,9000 S @ 4820 W,4820 W 9000 S & 4800 West,40.588034,-112.005766,,,,,,0
23258,198078,Old Bingham Hwy @ 4362 W,4362 W Old Bingham Hwy & Courtney Pl,40.586395,-111.9951,,,,,,0
23259,198079,4773 W. Old Bingham Hwy Station,4786 W Old Bingham Hwy & 4800 W,40.581717,-112.004673,,,,,,1
23262,198082,2Nd Ave @ 124 E,124 E 2nd Ave & North City Creek Canyon Road,40.771658,-111.886665,,,,,,0
23263,198083,2Nd Ave @ 190 E,190 E 2nd Ave & North City Creek Canyon Road,40.771652,-111.883757,,,,,,0
23264,198084,2Nd Ave @ 290 E,290 E 2nd Ave & Redwood Rd,40.771656,-111.880739,,,,,,0
23265,198085,2Nd Ave @ 340 E,340 E 2nd Ave & Redwood Rd,40.771651,-111.879267,,,,,,0
23266,198086,3Rd Ave @ 361 E,361 E 3rd Ave & Redwood Rd,40.77288,-111.878829,,,,,,0
23267,198087,3Rd Ave @ 291 E,291 E 3rd Ave & Redwood Rd,40.772883,-111.880413,,,,,,0
